"","F2","F3","Q38","surveyYear"
"1","Relaxing and fishing with my daughters.",NA,NA,2025
"2","Getting out of the city","None",NA,2025
"3",NA,NA,NA,2025
"4","i live here.","Put more bullfrogs in lakes",NA,2025
"5",NA,NA,NA,2025
"6",NA,NA,NA,2025
"7",NA,NA,NA,2025
"8","Walking down to the river and throwing my pole out is the funnest part of my company trips. Alway fun When I can catch Something! ""THERE IS NO PLACE LIKE NEBRASKA""","-","I wish I could get into some nice Blue gill or Sunfish sometime. That would be a blast. I fish mostly, the Elkhorn River. Occasionally we go to Maple Creek + Muskintine Lakes",2025
"9","All the lakes and ponds in my area within 30 minutes drive time","A minimum size limit  ,I see to many people keeping everything that they catch. O matter how big they are",NA,2025
"10","All the lakes and ponds in my area within 30 minutes drive time","A minimum size limit  ,I see to many people keeping everything that they catch. O matter how big they are",NA,2025
"11",NA,NA,"What is wrong with Barchard Lake in Pawnee County?",2025
"12",NA,NA,"I do not fish, but do hunt turkeys, deer",2025
"13",NA,NA,NA,2025
"14",NA,"More money needs to be spent on the other 2/3 of the state and not just Omaha & Linc. end of the state",NA,2025
"15",NA,"bank fishing by highway brights",NA,2025
"16",NA,"Stock the western part of the state as much as the eastern",NA,2025
"17","That is easy to get to where I fish",NA,NA,2025
"18",NA,"Stock more fish",NA,2025
"19","Home, Eazy, Fun",NA,NA,2025
"20","' The open waters of the Missouri","Be more constint with the water level",NA,2025
"21","We have some cool lakes & a lot of opportunities.","I like specific regulations for lakes but finding out what they are is challenging.","Improve parking a boat ramps. We fish Colamus a lot and they redid Buckshot but didn't increase parking. Very dangerous people parking on highways.",2025
"22",NA,NA,NA,2025
"23",NA,NA,NA,2025
"24","White Bass - Wyper Resevoirs Walleye - Reservoirs Catfish creeks",NA,NA,2025
"25","Love being outdoors in beautiful Nebraska - God's country life!",NA,"Nebraska - The Good Life -",2025
"26",NA,NA,NA,2025
"27","get Away",NA,NA,2025
"28",NA,NA,NA,2025
"29","Fishing",NA,NA,2025
